Test,Question,Best Distance,Retrieved Pages,Retrieved Correct Context,Reviewer Notes
1,What does ISO/IEC 27001 specify?,0.2611466646194458,"[4, 4, 26]",,
2,What is the title of Clause 4?,0.7733800411224365,"[7, 17, 8]",,
3,What is the title of Clause 5?,0.7619800567626953,"[3, 8, 7]",,
4,What is the title of Clause 10?,0.783981204032898,"[3, 17, 16]",,
5,What document contains the terms and definitions?,0.5570425987243652,"[7, 13, 13]",,
6,Summarize the purpose of the information security management system.,0.25314944982528687,"[8, 5, 9]",,
7,Explain the purpose of internal audits.,0.39722663164138794,"[15, 14, 7]",,
8,What should an organization do when a nonconformity occurs?,0.47254055738449097,"[16, 16, 17]",,
9,Who created ISO/IEC 27001?,0.3265257477760315,"[4, 26, 4]",,
10,What is the certification cost of ISO/IEC 27001?,0.3609579801559448,"[26, 4, 4]",,
